time	V(vout)
Step Information: Run=1  (Step: 1/250)
1.125469432458800e+00	3.299866e+00
1.129375682458800e+00	3.299868e+00
1.133281932458800e+00	3.299867e+00
1.137188182458800e+00	3.299870e+00
1.141094432458800e+00	3.299869e+00
1.145000682458800e+00	3.299871e+00
1.148906932458800e+00	3.299870e+00
1.152813182458800e+00	3.299872e+00
1.156719432458800e+00	3.299871e+00
1.160625682458800e+00	3.299874e+00
1.164531932458800e+00	3.299873e+00
1.168438182458800e+00	3.299875e+00
1.172344432458800e+00	3.299874e+00
1.176250682458800e+00	3.299876e+00
1.180156932458800e+00	3.299875e+00
1.184063182458800e+00	3.299877e+00
1.187969432458800e+00	3.299876e+00
1.191875682458800e+00	3.299878e+00
1.195781932458800e+00	3.299877e+00
1.199688182458800e+00	3.299879e+00
1.203594432458800e+00	3.299878e+00
1.207500682458800e+00	3.299881e+00
1.211406932458800e+00	3.299879e+00
1.215313182458800e+00	3.299881e+00
1.219219432458800e+00	3.299881e+00
1.223125682458800e+00	3.299883e+00
1.227031932458800e+00	3.299881e+00
1.230938182458800e+00	3.299884e+00
1.234844432458800e+00	3.299882e+00
1.238750682458800e+00	3.299885e+00
1.242656932458800e+00	3.299884e+00
1.246563182458800e+00	3.299886e+00
1.250469432458800e+00	3.299885e+00
1.254375682458800e+00	3.299886e+00
1.258281932458800e+00	3.299886e+00
1.262188182458800e+00	3.299887e+00
1.266094432458800e+00	3.299886e+00
1.270000682458800e+00	3.299888e+00
1.273906932458800e+00	3.299887e+00
1.277813182458800e+00	3.299889e+00
1.281719432458800e+00	3.299888e+00
1.285625682458800e+00	3.299890e+00
1.289531932458800e+00	3.299889e+00
1.293438182458800e+00	3.299891e+00
1.297344432458800e+00	3.299890e+00
1.301250682458800e+00	3.299892e+00
1.305156932458800e+00	3.299891e+00
1.309063182458800e+00	3.299893e+00
1.312969432458800e+00	3.299891e+00
1.316875682458800e+00	3.299893e+00
1.320781932458800e+00	3.299892e+00
1.324688182458800e+00	3.299894e+00
1.328594432458800e+00	3.299893e+00
1.332500682458800e+00	3.299895e+00
1.336406932458800e+00	3.299894e+00
1.340313182458800e+00	3.299896e+00
1.344219432458800e+00	3.299895e+00
1.348125682458800e+00	3.299896e+00
1.352031932458800e+00	3.299895e+00
1.355938182458800e+00	3.299897e+00
1.359844432458800e+00	3.299896e+00
1.363750682458800e+00	3.299898e+00
1.367656932458800e+00	3.299897e+00
1.371563182458800e+00	3.299899e+00
1.375469432458800e+00	3.299897e+00
1.379375682458800e+00	3.299899e+00
1.383281932458800e+00	3.299898e+00
1.387188182458800e+00	3.299900e+00
1.391094432458800e+00	3.299899e+00
1.395000682458800e+00	3.299901e+00
1.398906932458800e+00	3.299899e+00
1.402813182458800e+00	3.299901e+00
1.406719432458800e+00	3.299900e+00
1.410625682458800e+00	3.299902e+00
1.414531932458800e+00	3.299901e+00
1.418438182458800e+00	3.299902e+00
1.422344432458800e+00	3.299901e+00
1.426250682458800e+00	3.299903e+00
1.430156932458800e+00	3.299901e+00
1.434063182458800e+00	3.299903e+00
1.437969432458800e+00	3.299902e+00
1.441875682458800e+00	3.299904e+00
1.445781932458800e+00	3.299903e+00
1.449688182458800e+00	3.299904e+00
1.453594432458800e+00	3.299903e+00
1.457500682458800e+00	3.299905e+00
1.461406932458800e+00	3.299904e+00
1.465313182458800e+00	3.299905e+00
1.469219432458800e+00	3.299904e+00
1.473125682458800e+00	3.299906e+00
1.477031932458800e+00	3.299904e+00
1.480938182458800e+00	3.299906e+00
1.484844432458800e+00	3.299905e+00
1.488750682458800e+00	3.299906e+00
1.492656932458800e+00	3.299905e+00
1.496563182458800e+00	3.299906e+00
1.500469432458800e+00	3.299905e+00
1.504375682458800e+00	3.299906e+00
1.508281932458800e+00	3.299905e+00
1.512188182458800e+00	3.299906e+00
1.516094432458800e+00	3.299904e+00
1.520000682458800e+00	3.299905e+00
1.523906932458800e+00	3.299902e+00
1.527813182458800e+00	3.299900e+00
1.531719432458800e+00	3.299883e+00
1.532207713708800e+00	3.299862e+00
1.532329784021300e+00	3.299849e+00
1.532573924646300e+00	3.299725e+00
1.532581554040832e+00	3.299709e+00
1.532596812829894e+00	3.299665e+00
1.532627330408019e+00	3.299382e+00
1.532631294597353e+00	3.299257e+00
1.532639222976022e+00	3.298381e+00
1.532639451498040e+00	3.298313e+00
1.532639908542076e+00	3.298154e+00
1.532640822630148e+00	3.297683e+00
1.532641472139720e+00	3.297107e+00
1.532641634517113e+00	3.296898e+00
1.532641959271900e+00	3.296369e+00
1.532642608781472e+00	3.294118e+00
1.532642942683766e+00	3.291138e+00
1.532642982100663e+00	3.290570e+00
1.532643060934457e+00	3.289233e+00
1.532643218602044e+00	3.285077e+00
1.532643403987581e+00	3.274618e+00
1.532643574192278e+00	3.250741e+00
1.532643729265919e+00	3.199117e+00
1.532643878860177e+00	3.098664e+00
1.532644050738853e+00	2.923263e+00
1.532644280589603e+00	2.644332e+00
1.532644530343781e+00	2.327026e+00
1.532644940664560e+00	1.801813e+00
1.532645761306117e+00	7.517151e-01
1.532646275095342e+00	1.123394e-01
1.532646489146472e+00	1.124544e-03
1.532646562663717e+00	6.324121e-04
1.532646592892249e+00	5.125680e-04
1.532646630785579e+00	4.588079e-04
1.532646706572240e+00	3.492208e-04
1.532646836237668e+00	2.909577e-04
1.532647095568525e+00	2.201579e-04
1.532647614230238e+00	1.929196e-04
1.532648651553664e+00	1.629152e-04
1.532650726200517e+00	1.599746e-04
1.532654875494223e+00	1.470545e-04
1.532663174081635e+00	1.524668e-04
1.532679771256457e+00	1.446601e-04
1.532712965606103e+00	1.519761e-04
1.532779354305395e+00	1.446223e-04
1.532912131703979e+00	1.520863e-04
1.533177686501146e+00	1.445691e-04
1.533708796095480e+00	1.519175e-04
1.534771015284149e+00	1.442266e-04
1.536895453661486e+00	1.512257e-04
1.540801703661486e+00	1.429283e-04
1.544707953661486e+00	1.495638e-04
1.548614203661486e+00	1.412844e-04
1.552520453661486e+00	1.479287e-04
1.556426703661486e+00	1.396683e-04
1.560332953661486e+00	1.463298e-04
1.564239203661486e+00	1.380878e-04
1.568145453661486e+00	1.447661e-04
1.572051703661486e+00	1.365423e-04
1.575957953661486e+00	1.432370e-04
1.579864203661486e+00	1.350308e-04
1.583770453661486e+00	1.417417e-04
1.587676703661486e+00	1.335527e-04
1.591582953661486e+00	1.402793e-04
